tconst,primary_title,averagerating,numvotes,start_year,runtime_minutes,genres,weighted_rating
tt1226229,Get Him to the Greek,6.4,161653,2010,109.0,"Adventure,Comedy,Music",6.39098983139837
tt1964418,Tomorrowland,6.4,161343,2015,130.0,"Action,Adventure,Family",6.390974842092271
tt1231587,Hot Tub Time Machine,6.4,153962,2010,101.0,"Comedy,Sci-Fi",6.390602613962741
tt5519340,Bright,6.4,147834,2017,117.0,"Action,Crime,Fantasy",6.390269420368677
tt1411250,Riddick,6.4,144821,2013,119.0,"Action,Adventure,Sci-Fi",6.390096778372522
tt1496025,Underworld Awakening,6.4,138350,2012,88.0,"Action,Fantasy,Horror",6.3897044689317415
tt2848292,Pitch Perfect 2,6.4,130692,2015,115.0,"Comedy,Music",6.389198064126608
tt1549920,The Last Stand,6.4,126623,2013,107.0,"Action,Thriller",6.388908180157364
tt1924435,Let's Be Cops,6.4,121633,2014,104.0,"Comedy,Crime",6.388530719551534
tt0815236,She's Out of My League,6.4,117245,2010,104.0,"Comedy,Romance",6.388176913072516
tt1007029,The Iron Lady,6.4,96066,2011,105.0,"Biography,Drama",6.386108610179572
tt1438176,Fright Night,6.4,94555,2011,106.0,"Comedy,Horror",6.38593304336916
tt1571222,A Dangerous Method,6.4,93259,2011,99.0,"Biography,Drama,Romance",6.385778883636763
tt1482459,The Lorax,6.4,90151,2012,86.0,"Adventure,Animation,Comedy",6.385395046504156
tt1657507,Colombiana,6.4,87659,2011,108.0,"Action,Drama,Thriller",6.385071987147056
tt1470827,Monsters,6.4,84332,2010,94.0,"Drama,Sci-Fi,Thriller",6.384617723996635
tt0480255,The Losers,6.4,83876,2010,97.0,"Action,Adventure,Crime",6.384553299166024
tt1648179,Here Comes the Boom,6.4,81761,2012,105.0,"Action,Comedy,Sport",6.384247290677307
tt1985966,Cloudy with a Chance of Meatballs 2,6.4,81010,2013,95.0,"Adventure,Animation,Comedy",6.384135694745779
tt1637706,Our Idiot Brother,6.4,80738,2011,90.0,"Comedy,Drama",6.3840948854716375
tt1486192,The Raven,6.4,79578,2012,110.0,"Crime,Mystery,Thriller",6.383918462774197
tt1860353,Turbo,6.4,74639,2013,96.0,"Adventure,Animation,Comedy",6.383121317957828
tt1020558,Centurion,6.4,74085,2010,97.0,"Action,Adventure,Drama",6.383026946561033
tt2436386,Project Almanac,6.4,71500,2015,106.0,"Drama,Mystery,Sci-Fi",6.382572279792745
tt1126591,Burlesque,6.4,71021,2010,119.0,"Drama,Music,Musical",6.3824853417481595
tt4731136,A Cure for Wellness,6.4,70941,2016,146.0,"Drama,Fantasy,Horror",6.382470737223919
tt2387559,Delivery Man,6.4,70706,2013,105.0,"Comedy,Drama",6.38242769523332
tt3691740,The BFG,6.4,69340,2016,117.0,"Adventure,Family,Fantasy",6.382173256306975
tt1374992,Upside Down,6.4,66347,2012,109.0,"Drama,Fantasy,Romance",6.381589160016203
tt2051879,Europa Report,6.4,62994,2013,90.0,"Drama,Mystery,Sci-Fi",6.380887617337546
tt2140619,Two Night Stand,6.4,60510,2014,86.0,"Comedy,Romance",6.380332417261139
tt3530002,The Night Before,6.4,58455,2015,101.0,"Adventure,Comedy,Fantasy",6.379848121742256
tt2226597,The Mountain Between Us,6.4,57033,2017,112.0,"Action,Adventure,Drama",6.379498799263711
tt1661382,Grudge Match,6.4,54080,2013,113.0,"Comedy,Drama,Sport",6.378733244815377
tt3647498,Blood Father,6.4,52184,2016,88.0,"Action,Crime,Drama",6.3782108338515755
tt2005374,The Frozen Ground,6.4,51915,2013,105.0,"Crime,Drama,Mystery",6.37813462913606
tt1137450,Death Wish,6.4,50279,2018,107.0,"Action,Crime,Drama",6.377659440215731
tt1291570,Solace,6.4,49417,2015,101.0,"Crime,Drama,Mystery",6.377400661139257
tt1567437,The Voices,6.4,48335,2014,103.0,"Comedy,Crime,Horror",6.377067225744869
tt2361317,Live by Night,6.4,47243,2016,129.0,"Action,Crime,Drama",6.376720581924892
tt1531663,Everything Must Go,6.4,45799,2010,97.0,"Comedy,Drama",6.376245780307631
tt5886046,Escape Room,6.4,43308,2019,99.0,"Action,Adventure,Horror",6.375379530948058
tt1181791,Black Death,6.4,41103,2010,102.0,"Action,Adventure,Drama",6.3745582651316886
tt3922818,The Space Between Us,6.4,41031,2017,120.0,"Adventure,Drama,Romance",6.3745305235419725
tt2345737,The Rover,6.4,40576,2014,103.0,"Action,Crime,Drama",6.37435380322069
tt1691916,Before I Fall,6.4,39282,2017,98.0,"Drama,Fantasy,Mystery",6.373837543946983
tt2034031,Laggies,6.4,38885,2014,99.0,"Comedy,Drama,Romance",6.373674962823824
tt3097204,The Inbetweeners 2,6.4,38289,2014,96.0,Comedy,6.373427056834521
tt4158096,Free Fire,6.4,35954,2016,91.0,"Action,Comedy,Crime",6.372409111789218
tt5783956,When We First Met,6.4,34781,2018,97.0,"Comedy,Fantasy,Romance",6.371867733895385
tt1783732,John Dies at the End,6.4,34410,2012,99.0,"Comedy,Horror,Sci-Fi",6.371692055209561
tt3442006,Cake,6.4,33065,2014,102.0,Drama,6.371036338586068
tt1788391,Kill List,6.4,32807,2011,95.0,"Crime,Drama,Horror",6.370907070078019
tt7153766,Unsane,6.4,32049,2018,98.0,"Drama,Horror,Mystery",6.370520517449911
tt2261331,Black Sea,6.4,32021,2014,114.0,"Adventure,Drama,Thriller",6.370506041633783
tt1541160,Flypaper,6.4,30352,2011,87.0,"Comedy,Crime,Mystery",6.369616725682902
tt1381404,The Company You Keep,6.4,29665,2012,125.0,"Drama,Thriller",6.369234885209915
tt0458413,A Long Way Down,6.4,29260,2014,96.0,"Comedy,Drama",6.369005252488021
tt2281587,Muppets Most Wanted,6.4,29018,2014,107.0,"Adventure,Comedy,Crime",6.368866396386389
tt5640450,ARQ,6.4,28807,2016,88.0,"Sci-Fi,Thriller",6.368744308361366
tt1971352,Compliance,6.4,28703,2012,90.0,"Biography,Crime,Drama",6.368683779304694
tt5001718,"Everything, Everything",6.4,26811,2017,96.0,"Drama,Romance",6.367540194167262
tt2238050,White Bird in a Blizzard,6.4,25376,2014,91.0,"Drama,Mystery,Thriller",6.366615551056058
tt1196948,Charlie Countryman,6.4,25356,2013,103.0,"Comedy,Drama,Romance",6.366602291683215
tt1620719,Fearless,6.3,25201,2010,126.0,"Action,Comedy,Crime",6.316298978108005
tt1422136,A Lonely Place to Die,6.3,25547,2011,99.0,"Adventure,Crime,Thriller",6.316187409737472
tt2071550,Open Grave,6.3,25548,2013,102.0,"Horror,Mystery,Thriller",6.31618708949909
tt2872518,The Shack,6.3,26065,2017,132.0,"Drama,Fantasy",6.316023205718203
tt1440161,A Little Bit of Heaven,6.3,26441,2011,106.0,"Comedy,Drama,Fantasy",6.315906086584631
tt6738136,Revenge,6.3,26827,2017,108.0,"Action,Horror,Thriller",6.315787620352326
tt3813310,Cop Car,6.3,27081,2015,88.0,"Crime,Thriller",6.3157106238359475
tt3860916,Cargo,6.3,27339,2017,105.0,"Drama,Horror,Sci-Fi",6.315633179846769
tt8155288,Happy Death Day 2U,6.3,27462,2019,100.0,"Drama,Horror,Mystery",6.315596527010026
tt2059171,13 Sins,6.3,29550,2014,93.0,"Horror,Thriller",6.314999541704857
tt6217306,Apostle,6.3,29578,2018,130.0,"Drama,Fantasy,Horror",6.314991846531569
tt2709692,The Grinch,6.3,29857,2018,85.0,"Animation,Comedy,Family",6.314915598738539
tt2368619,The Take,6.3,30968,2016,92.0,"Action,Crime,Drama",6.314619514722699
tt2428170,Creep,6.3,31082,2014,77.0,"Horror,Thriller",6.314589797082842
tt1336617,Cyrus,6.3,32457,2010,91.0,"Comedy,Drama,Romance",6.3142406495292125
tt1477837,Cedar Rapids,6.3,34759,2011,87.0,Comedy,6.31369207985408
tt1667310,Deadfall,6.3,36491,2012,95.0,"Crime,Drama,Thriller",6.313306418825519
